"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Gentoo","Biscoe",59.6,17,230,6050,"male",2007
"Gentoo","Biscoe",48.6,16,230,5800,"male",2008
"Gentoo","Biscoe",52.1,17,230,5550,"male",2009
"Gentoo","Biscoe",51.5,16.3,230,5500,"male",2009
"Gentoo","Biscoe",55.1,16,230,5850,"male",2009
"Gentoo","Biscoe",49.8,15.9,229,5950,"male",2009
"Gentoo","Biscoe",49.6,16,225,5700,"male",2008
"Gentoo","Biscoe",50,15.9,224,5350,"male",2009
"Gentoo","Biscoe",50.5,15.9,222,5550,"male",2008
"Gentoo","Biscoe",49.2,15.2,221,6300,"male",2007
"Gentoo","Biscoe",49.1,14.8,220,5150,"female",2008
"Gentoo","Biscoe",48.4,16.3,220,5400,"male",2008
"Gentoo","Biscoe",43.5,14.2,220,4700,"female",2008
"Gentoo","Biscoe",46.7,15.3,219,5200,"male",2007
"Gentoo","Biscoe",50.2,14.3,218,5700,"male",2007
"Gentoo","Biscoe",46.2,14.1,217,4375,"female",2009
"Gentoo","Biscoe",49,16.1,216,5550,"male",2007
"Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007
"Gentoo","Biscoe",46.8,15.4,215,5150,"male",2007
"Gentoo","Biscoe",45.1,14.5,215,5000,"female",2007
"Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007
"Gentoo","Biscoe",46.1,15.1,215,5100,"male",2007
"Gentoo","Biscoe",45.2,15.8,215,5300,"male",2008
"Gentoo","Biscoe",45.2,13.8,215,4750,"female",2008
"Gentoo","Biscoe",47.2,13.7,214,4925,"female",2009
"Gentoo","Biscoe",43.5,15.2,213,4650,"female",2009
"Gentoo","Biscoe",44.9,13.8,212,4750,"female",2009
"Gentoo","Biscoe",45.5,14.5,212,4750,"female",2009
"Gentoo","Biscoe",45.2,14.8,212,5200,"female",2009
"Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007
"Gentoo","Biscoe",48.7,14.1,210,4450,"female",2007
"Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008
"Gentoo","Biscoe",48.7,15.7,208,5350,"male",2008
"Chinstrap","Dream",55.8,19.8,207,4000,"male",2009
"Adelie","Torgersen",40.6,19,199,4000,"male",2009
"Adelie","Biscoe",38.1,16.5,198,3825,"female",2009
"Chinstrap","Dream",46.6,17.8,193,3800,"female",2007
"Adelie","Torgersen",38.8,17.6,191,3275,"female",2009
"Adelie","Torgersen",41.1,18.6,189,3325,"male",2009
"Adelie","Biscoe",40.1,18.9,188,4300,"male",2008
"Adelie","Torgersen",38.6,17,188,2900,"female",2009
"Adelie","Torgersen",36.2,17.2,187,3150,"female",2009
"Adelie","Biscoe",36.4,17.1,184,2850,"female",2008
"Adelie","Dream",42.2,18.5,180,3550,"female",2007
